EID	Name	Position	Short bio	Education	Past experience	D ONE project experience	Certifications	Conferences	Technical expertise	Capacity
DKI	Daniel Kim	Lead Consultant	Daniel Kim holds an M.Sc. in Finance and a B.Sc. in Economics from Seoul National University. Before joining D ONE, Daniel worked as a Financial Analyst at Samsung Electronics for 3 years, mainly in projects around corporate finance. His areas of expertise are data engineering and data science. Daniel has been with the team since 2019.	PhD in Financial Economics (Seoul National University), MSc in Finance (Seoul National University), BSc in Economics (Seoul National University) 	Developed forecasting models to analyze financial health and investment opportunities at Samsung. Engineered data pipelines for real-time financial reporting using Python and Airflow. Implemented a machine learning model to optimize cash flow management processes. Orchestrated the integration of economic indicators into a corporate decision-support system.	Developed AI-based asset valuation tools for finance clients. Engineered predictive models for assessing insurance claim fraud risks. Optimized algorithmic trading strategies for major financial institutions. Automated risk management systems for retail banking portfolios. Implemented customer segmentation analytics for personalized retail marketing campaigns. Designed financial health dashboards for real-time executive decision-making.	Microsoft Certified: Azure Data Scientist Associate, Databricks Certified Data Engineer Associate, GCP Professional Data Engineer	GTC 2021, GTC 2022, AMLD 2023 	Python, Apache Airflow, TensorFlow, Pandas, NumPy, Scikit-learn, Microsoft Azure, Google Cloud Platform (GCP), Databricks, Jupyter Notebook, R, SQL, Plotly, Keras 	80
ASC	Anna Schmid	Lead Consultant	Anna Schmid holds a PhD in Computer Science specializing in Artificial Intelligence from ETH Zurich. She also earned an M.Sc. in Computational Science and Engineering and a B.Sc. in Electrical Engineering. Before joining D ONE, Anna worked as a Project Manager at Siemens for 3 years, mainly in projects around automation. Her areas of expertise are data engineering and data science. Anna has been with the team since 2020.	PhD in Computer Science (ETH Zurich), MSc in Computational Science and Engineering (ETH Zurich), BSc in Electrical Engineering (Technical University of Munich)	Orchestrated data ingestion and modeling with Kubernetes and Airflow at Siemens. Developed a RESTful API and a Python module for industrial automation on Google Cloud Platform. Implemented machine learning models to enhance efficiency in manufacturing processes. Engineered predictive maintenance systems using IoT data and AI techniques. Designed and deployed a scalable analytics platform for real-time data processing.	Developed AI-driven claims processing system for major insurance client. Implemented fraud detection models for retail banking transactions. Enhanced customer data privacy with new encryption techniques. Automated financial forecasting tools for investment firms. Streamlined inventory management using predictive analytics for retailers. Created customer behavior models to boost retail marketing strategies. Engineered risk assessment algorithms for real estate financing.	Databricks Certified Data Engineer Associate, Microsoft Certified: Azure Data Scientist Associate, Professional Data Engineer, AWS Certified Data Analytics Specialty, Microsoft Certified: Power BI Data Analyst Associate 	Google Next 2021, GTC 2022, GTC 2023, AMLD 2023	Python, Kubernetes, Apache Airflow, Google Cloud Platform (GCP), TensorFlow, Scikit-learn, Pandas, NumPy, Docker, RESTful API development, Microsoft Azure, IoT platforms, Apache Kafka, Databricks, SQL, AWS (Amazon Web Services), Power BI, PyTorch, Flask, Hadoop	80
APA	Aditya Patel	Consultant	Aditya Patel holds an M.Sc. in Electrical Engineering and a B.Sc. in Electronics and Communication Engineering from the Indian Institute of Technology Bombay. Before joining D ONE, Aditya worked as a Systems Engineer at Infosys for 5 years, mainly in projects around communication systems. His areas of expertise are data engineering and data science. Aditya has been with the team since 2019.	MSc in Electrical Engineering (Indian Institute of Technology Bombay), BSc in Electronics and Communication Engineering (Indian Institute of Technology Bombay)	Led scalable data pipelines development using Apache Kafka and Spark. Designed ML models, improved data transmission efficiency by 15%. Integrated IoT data with AWS, streamlined data ingestion. Developed Python scripts, automated signal degradation analysis with TensorFlow. Prototyped AI-driven anomaly detection system, enhanced fault detection.	Developed predictive models for risk assessment in insurance sector. Implemented customer segmentation algorithms for targeted retail marketing strategies. Enhanced financial fraud detection using machine learning techniques. Streamlined data warehouses for multi-national retail clients. Automated report generation for financial clients with Python scripts. Led migration of client data to secure cloud platforms. Optimized stock level predictions using AI for retail chains.	Databricks Certified Associate Developer for Apache Spark 3.0, Microsoft Certified: Azure Data Engineer Associate, Tableau Certified Associate Consultant	GTC 2022	Apache Kafka, Apache Spark, Python, TensorFlow, AWS, Databricks, Tableau, Microsoft Azure, IoT Integration Tools, Scikit-learn, Pandas, NumPy, Matplotlib, Seaborn, PySpark	80
AHE	Armon Heini	Senior Consultant	Armon Heini holds an M.Sc. in Information Systems and a B.Sc. in Business Information Technology from the University of St. Gallen. Before joining D ONE, Armon worked as an IT Consultant at KPMG for 5 years, mainly in projects around digital transformation. His areas of expertise are data engineering and data science. Armon has been with the team since 2020.	MSc in Information Systems (University of St. Gallen), BSc in Business Information Technology (University of St. Gallen)	Orchestrated data ingestion and modeling steps with Kubernetes and Airflow for enterprise clients at KPMG. Developed a RESTful API and a Python module for a financial analytics product on Google Cloud Platform. Led the digital transformation of data systems, increasing operational efficiency by 20%. Designed and implemented a data governance framework to ensure data integrity and compliance. Increased F1-score for named entity recognition by 18% in customer feedback analysis tools. Engineered custom machine learning models to optimize marketing campaign outcomes based on consumer data. Prototyped a knowledge graph based on the analysis of legal texts with NLP and LLMs for a legal tech startup.	Optimized risk assessment models for Swiss insurance clients using AI. Developed real-time fraud detection systems for financial institutions. Implemented AI-powered personalization engines for retail client websites. Engineered data warehouses for multi-channel retail data integration.	Databricks Certified Data Engineer Associate, Microsoft Certified: Azure Data Scientist Associate, Microsoft Certified: Azure Data Engineer Associate, Professional Data Engineer, AWS Certified Data Analytics Specialty, Snowflake: SnowPro Core Certification, Tableau Certified Associate Consultant	Databricks Data+AI Summit 2023	Kubernetes, Apache Airflow, Python, Google Cloud Platform (GCP), RESTful API development, TensorFlow, Scikit-learn, Pandas, Natural Language Processing (NLP), Large Language Models (LLMs), Microsoft Azure, AWS (Amazon Web Services), Snowflake, Tableau, Databricks, SQL	80
VLU	Valentina Lutz	Consultant	Valentina Lutz holds an M.Sc. in Biotechnology and a B.Sc. in Biochemistry from the University of Geneva. Before joining D ONE, Valentina worked as a Biotechnologist at Lonza for 2 years, mainly in projects around cell therapy. Her areas of expertise are data engineering and data science. Valentina has been with the team since 2021.	MSc in Biotechnology (University of Geneva), BSc in Biochemistry (University of Geneva)	Designed and implemented automated workflows for high-throughput sequencing data. Developed a custom data pipeline for analyzing gene expression patterns. Integrated laboratory equipment data streams for real-time experimental monitoring.	Employed machine learning for predictive modeling of cell behavior. Utilized deep learning to analyze microscopy images of cell cultures. Implemented statistical algorithms for identifying biomarkers related to cell therapy. Developed clustering techniques to categorize cell populations based on characteristics. Applied natural language processing for mining scientific literature on cell therapy.	Databricks Certified Machine Learning Professional, TensorFlow Developer Certificate, Coursera Machine Learning Engineering For Production Specialization, AWS Certified Machine Learning – Specialty		Python, TensorFlow, Databricks, AWS Machine Learning, SciPy, NumPy, Pandas, Keras, PyTorch, Jupyter Notebooks	90
TLO	Tomás López	Senior Consultant	Tomás López holds an M.Sc. in Digital Marketing and a B.Sc. in Business Management from the Universidad Autónoma de Madrid. Before joining D ONE, Tomás worked as a Digital Marketing Strategist at Telefonica for 3 years, mainly in projects around online customer engagement. His areas of expertise are data engineering and data science. Tomás has been with the team since 2021.	MSc in Big Data (University of Applied Sciences and Arts Northwestern Switzerland), BSc in Software Engineering (University of Applied Sciences and Arts Northwestern Switzerland)	Implemented customer segmentation models for targeted marketing campaigns. Conducted sentiment analysis on social media data for brand perception. Developed recommendation systems for personalized product offerings.	Utilized Apache Spark for large-scale data processing and analysis. Implemented machine learning models for customer churn prediction. Developed custom dashboards using Apache Superset for data visualization. Integrated data pipelines with Salesforce CRM for marketing automation.	GCP Professional Data Engineer, Microsoft Certified: Azure Fundamentals, Professional Data Engineer, TensorFlow Developer Certificate, AWS Certified Data Analytics Specialty	GTC 2023 	Apache Spark, TensorFlow, Apache Superset, Salesforce CRM, Python, scikit-learn, NLTK, Google Cloud Platform (GCP), Azure	90
SLE	Sarah Leroy	Associate Consultant	Sarah Leroy holds an M.Sc. in Financial Engineering and a B.Sc. in Finance from the University of Bologna. Before joining D ONE, Sarah worked as a Risk Manager at Intesa Sanpaolo for 5 years, mainly in projects around credit risk analysis. Her areas of expertise are data engineering and data science. Sarah has been with the team since 2021.	MSc in Financial Engineering (University of Bologna), BSc in Finance (University of Bologna)	Implemented predictive credit risk models using Python and scikit-learn. Analyzed market trends and credit risk exposure with Tableau dashboards. Conducted Monte Carlo simulations for financial stress testing scenarios. Developed automated risk reporting pipelines with Apache Airflow and Python. Utilized TensorFlow for building deep learning models for fraud detection. Visualized credit portfolio performance using Power BI for stakeholders.	Created interactive Power BI dashboards for healthcare patient analytics. Implemented Power BI reports for insurance claims data visualization. Developed Power BI solutions for Banque Suisse transaction analysis and forecasting. Designed Power BI dashboards for retail sales performance monitoring.	Microsoft Certified: Power BI Data Analyst Associate, Exam DA-100: Analyzing Data with Microsoft Power BI		Python, scikit-learn, Tableau, Apache Airflow, TensorFlow, Power BI, Microsoft Excel	100
PBI	Paolo Bianchi	Senior Consultant	Paolo Bianchi holds an M.Sc. in Aerospace Engineering and a B.Sc. in Physics from the University of Pisa. Before joining D ONE, Paolo worked as an Aerodynamics Engineer at Leonardo S.p.A. for 4 years, mainly in projects around flight simulation. His areas of expertise are data engineering and data science. Paolo has been with the team since 2019.	MSc in Aerospace Engineering (ETH Zurich), MSc in Aerospace Engineering (University of Pisa), BSc in Physics (University of Pisa)	Conducted airflow analysis using computational fluid dynamics (CFD) simulations. Developed a Python-based tool for aerodynamic performance prediction. Applied machine learning algorithms for predicting flight stability characteristics. Utilized MATLAB for analyzing flight data and optimizing aerodynamic designs.	Implemented data pipelines on Databricks for real-time healthcare analytics. Leveraged Palantir Foundry for integrating insurance claims data across platforms. Conducted sentiment analysis on banking customer feedback using Databricks. Employed Palantir Gotham for anomaly detection in retail supply chains.	Databricks Certified Associate Developer for Apache Spark 3.0, Databricks Certified Data Engineer Associated, Databricks Certified Machine Learning Associate, Databricks Certified Data Engineer Associate, Palantir Foundry Data Engineer Associate, GCP Professional Data Engineer		CFD software, Python, Scikit-learn, MATLAB, NumPy, Pandas, Databricks, Apache Spark, Palantir Foundry, Palantir Gotham, TensorFlow, Apache Airflow, Jupyter Notebook, Google Cloud Platform (GCP), Microsoft Azure	100
OIV	Olga Ivanova	Consultant	Olga Ivanova holds an M.Sc. in Organizational Psychology and a B.Sc. in Psychology from Lomonosov Moscow State University. Before joining D ONE, Olga worked as an HR Analyst at Yandex for 2 years, mainly in projects around talent management. Her areas of expertise are data engineering and data science. Olga has been with the team since 2021.	MSc in Organizational Psychology (Lomonosov Moscow State University), BSc in Psychology (Lomonosov Moscow State University)	Developed sentiment analysis models for employee feedback using natural language processing. Implemented HR analytics dashboards for talent acquisition and performance tracking. Utilized machine learning for predicting employee turnover and retention strategies.	Implemented blockchain-based supply chain tracking for pharmaceutical clients. Deployed IoT sensors for real-time monitoring in construction projects. Developed AI-driven chatbots for customer service in banking sector. Integrated virtual reality solutions for immersive training in mechanical engineering. Utilized geospatial analytics for location-based marketing strategies in retail.	Professional Scrum Master™ I (PSM I), Leading SAFe / SAFe Agilist		Python, NLTK, TensorFlow, Tableau, Scikit-learn, HRIS (Human Resource Information System), Blockchain technology, IoT platforms	100
MHA	Mohamed Hassan	Senior Consultant	Mohamed Hassan holds an M.Sc. in Electrical and Computer Engineering and a B.Sc. in Computer Science from Cairo University. Before joining D ONE, Mohamed worked as a Network Engineer at Vodafone Egypt for 5 years, mainly in projects around telecommunications networks. His areas of expertise are data engineering and data science. Mohamed has been with the team since 2020.	MSc in Electrical and Computer Engineering (Cairo University), BSc in Computer Science (Cairo University)	Configured data pipelines using AWS Glue for automated data ingestion. Developed a microservices-based API on AWS Lambda with Python. Conducted network traffic analysis using Wireshark for network optimization. Utilized AWS CloudFormation for infrastructure as code (IaC) deployments. Implemented AWS Direct Connect for secure and reliable network connectivity.	Automated data processing pipelines using Apache Airflow and Kubernetes. Designed and implemented RESTful APIs using Flask and Django frameworks. Conducted predictive analytics using Python's scikit-learn and TensorFlow libraries. Deployed data lakes on AWS S3 for scalable data storage. Implemented real-time streaming analytics using Apache Kafka and Apache Flink. Utilized Docker and Kubernetes for containerization and orchestration of applications. Developed custom ETL solutions using Apache Spark and PySpark.	Databricks Certified Associate Developer for Apache Spark 3.0, AWS Certified Solutions Architect – Associate, Professional Data Engineer, TensorFlow Developer Certificate	GTC 2021, SDS 2021	RabbitMQ, Apache Cassandra, Elasticsearch, Kibana, Logstash, Google BigQuery, Microsoft Azure HDInsight, Redshift, Oracle Cloud Infrastructure, SaltStack, Hadoop HDFS, Splunk, Sqoop, Grafana, Redis, Celery, Thrift, Apache HBase	100
MGA	Maria García	Lead Consultant	Maria García holds an M.Sc. in Computational Chemistry and a B.Sc. in Chemical Engineering from the University of Barcelona. Before joining D ONE, Maria worked as a Chemical Analyst at Grifols for 3 years, mainly in projects around plasma-derived medicines. Her areas of expertise are data engineering and data science. Maria has been with the team since 2020.	PhD in Chemoinformatics (University of Zurich), MSc in Computational Chemistry (University of Barcelona), BSc in Chemical Engineering (University of Barcelona)	Analyzed chemical reaction kinetics using Python libraries like NumPy and SciPy. Developed predictive models for product yield optimization with TensorFlow.	Designed and implemented data pipelines with Python, Apache Spark. Developed scalable RESTful APIs using Flask framework in Python. Conducted exploratory data analysis and visualization using Matplotlib, Seaborn. Engineered machine learning models with Scikit-learn, TensorFlow for predictive analytics. Deployed interactive dashboards with Tableau for data visualization.	Databricks Certified Associate Developer for Apache Spark 3.0, TensorFlow Developer Certificate, Tableau Certified Associate Consultant, Professional Scrum Master™ I (PSM I), Leading SAFe / SAFe Agilist, IMD Leadership essentials	SDS 2022, GTC 2023	Pandas, Apache Kafka, RDKit, Open Babel, Jupyter Notebook, Dask, PyTorch, Dash, Django, SQLAlchemy, MongoDB, Elasticsearch, RabbitMQ, Docker Compose, Keras, Git, Apache Hadoop, Microsoft Power BI, Google BigQuery, Apache Cassandra, Neo4j, Google Colab, Plotly Express, Azure Data Factory, PostgreSQL	100
MCO	Madlaina Coray	Consultant	Madlaina Coray holds an M.Sc. in Environmental Engineering and a B.Sc. in Civil Engineering from the Swiss Federal Institute of Technology in Zurich (ETH Zurich). Before joining D ONE, Madlaina worked as an Environmental Analyst at the Federal Office for the Environment for 4 years, mainly in projects around water resource management. Her areas of expertise are data engineering and data science. Madlaina has been with the team since 2018.	MSc in Environmental Engineering (ETH Zurich), BSc in Civil Engineering (ETH Zurich)	Managed data processing pipelines with Apache Beam for environmental datasets. Developed a web-based dashboard using Plotly for visualizing water quality metrics. Conducted predictive modeling on water contamination trends using TensorFlow. Integrated geospatial analysis tools like GeoPandas for spatial data processing. Employed Apache NiFi for real-time data ingestion and monitoring in environmental monitoring projects.	Designed scalable data pipelines on AWS using AWS Glue. Built custom data lakes on Azure using Azure Data Lake Storage. Implemented real-time analytics solutions with Apache Kafka on GCP. Deployed containerized applications on Kubernetes clusters across multiple clouds. Leveraged Apache Spark for large-scale data processing and analytics. Utilized Terraform for infrastructure as code across multi-cloud environments. Integrated CI/CD pipelines with Jenkins for automated deployment and testing.	AWS Certified Solutions Architect – Associate, Microsoft Certified: Azure Data Engineer Associate, GCP Professional Data Engineer, Databricks Certified Associate Developer for Apache Spark 3.0		Apache Beam, Plotly, TensorFlow, GeoPandas, Apache NiFi, AWS Glue, Azure Data Lake Storage, Google Cloud Platform (GCP), Kubernetes, Terraform, Jenkins, Python, R, SQL, Docker	100
LVO	Lara Vogel	Consultant	Lara Vogel holds an M.Sc. in Electrical Engineering and a B.Sc. in Physics from ETH Zurich. Before joining D ONE, Lara worked as an Electrical Engineer at ABB for 4 years, mainly in projects around renewable energy systems. Her areas of expertise are data engineering and data science. Lara has been with the team since 2020.	MSc in Electrical Engineering (ETH Zurich), BSc in Physics (ETH Zurich)	Automated renewable energy forecasting model using Apache Spark and PySpark. Engineered anomaly detection system for energy grids with Python and scikit-learn. Conducted predictive maintenance analysis on wind turbines using R and TensorFlow. Developed fault detection algorithm for solar panels with PyTorch.	Implemented customer churn prediction model using Python and scikit-learn. Built real-time fraud detection system with Apache Kafka and TensorFlow. Developed personalized recommendation engine using Apache Spark and PySpark. Conducted sentiment analysis on social media data with Natural Language Toolkit (NLTK) in Python. Engineered data pipeline for IoT sensor data processing with Apache NiFi.	Databricks Certified Associate Developer for Apache Spark 3.0, TensorFlow Developer Certificate, Professional Data Engineer		Apache Spark, PySpark, Python, scikit-learn, R, TensorFlow, PyTorch, Apache Kafka, Natural Language Toolkit (NLTK), Apache NiFi, Pandas, NumPy, Matplotlib, Seaborn, Jupyter Notebook	100
LNA	Livio Nay	Consultant	Livio Nay holds an M.Sc. in Quantum Computing and a B.Sc. in Physics from ETH Zurich. Before joining D ONE, Livio worked as a Research Assistant at IBM Research Zurich for 2 years, mainly in projects around quantum algorithms. His areas of expertise are data engineering and data science. Livio has been with the team since 2019.	MSc in Quantum Computing (ETH Zurich), BSc in Physics (ETH Zurich)	Implemented anomaly detection algorithms using PyTorch and TensorFlow. Conducted sentiment analysis on customer reviews using NLTK and spaCy. Developed a recommendation system using collaborative filtering in Apache Spark.	Designed data pipelines with Apache Kafka and Apache NiFi. Implemented machine learning models with Python and scikit-learn. Developed RESTful APIs with Flask for healthcare data integration. Conducted data analysis using SQL and Apache Spark for banking. Built predictive models using R and TensorFlow for insurance clients.	Tableau Partner Sales Accreditation Exam, Certified SNYPR Content Developer		Python, PyTorch, TensorFlow, NLTK (Natural Language Toolkit), spaCy, Apache Spark, Apache Kafka, Apache NiFi, scikit-learn, Flask, SQL, R	100
LDU	Lucas Dupont	Consultant	Lucas holds an M.Sc. in Data Analytics and a B.Sc. in Applied Mathematics. Before joining D ONE, Lucas worked as a Quantitative Analyst at Credit Suisse for 5 years, mainly in projects around risk management. His areas of expertise are data engineering and data science. Lucas has been with the team since 2018.	MSc in Data Analytics (École Polytechnique), BSc in Applied Mathematics (Paris-Sud University)	Orchestrated data pipelines with Apache Kafka and Apache NiFi. Developed a real-time dashboard using Tableau for risk monitoring. Conducted Monte Carlo simulations for risk assessment using MATLAB. Utilized Jupyter Notebook with Pandas for exploratory data analysis. Implemented sentiment analysis using NLTK for customer feedback analysis. Created interactive data visualizations with Plotly for risk reporting.	Designed and implemented data pipelines using Apache Spark and Kafka. Developed a customer segmentation model using Python with scikit-learn. Conducted predictive analytics using R programming language for insurance claims. Built a recommendation engine using TensorFlow for retail clients. Implemented anomaly detection algorithms with Python and TensorFlow for healthcare.	Databricks Certified Associate Developer for Apache Spark 3.0		Apache Kafka, Apache NiFi, Tableau, MATLAB, Jupyter Notebook, Pandas, NLTK, Plotly, Apache Spark, Python, TensorFlow	100
JBE	Julia Beck	Consultant	Julia Beck holds an M.Sc. in Data Engineering and a B.Sc. in Computer Engineering. Before joining D ONE, Julia worked as a Systems Engineer at ABB for 2 years, mainly in projects around energy systems. Her areas of expertise are data engineering and data science. Julia has been with the team since 2021.	PhD in Applied Data Science (Karlsruhe Institute of Technology), MSc in Data Engineering (Karlsruhe Institute of Technology), BSc in Computer Engineering (ETH Zurich)	Orchestrated the deployment of a scalable data lake for energy system telemetry data using Apache Spark and AWS Glue. Developed a real-time monitoring RESTful API and Python module for energy system performance analysis on Google Cloud Platform, enabling proactive maintenance and optimization.	Engineered AI-driven patient diagnosis system on AWS for healthcare. Implemented fraud detection algorithms for banking using Apache Kafka. Developed real-time inventory management solution for retail on Google Cloud. Orchestrated predictive maintenance platform for manufacturing on Azure IoT.	IMD Leadership essentials, Scrum Master 		Apache Spark, AWS Glue, Python, Google Cloud Platform (GCP), RESTful API, AWS, Apache Kafka, Azure IoT, JIRA, Trello	100
GRE	Gian Reto	Consultant	Gian Reto holds an M.Sc. in Industrial Engineering and a B.Sc. in Mechanical Engineering from the Swiss Federal Institute of Technology in Lausanne (EPFL). Before joining D ONE, Gian worked as a Process Engineer at Swatch for 3 years, mainly in projects around manufacturing optimization. His areas of expertise are data engineering and data science. Gian has been with the team since 2019.	MSc in Industrial Engineering (Swiss Federal Institute of Technology in Lausanne), BSc in Mechanical Engineering (Swiss Federal Institute of Technology in Lausanne)	Developed a real-time monitoring system for manufacturing processes using Kafka and Spark on AWS to enhance production efficiency. Engineered a machine learning model to predict equipment failures, deployed on Google Cloud, reducing downtime by 20%. Implemented a data pipeline for quality control analytics using Airflow and PostgreSQL, significantly improving defect detection rates. Orchestrated a cloud-based data warehousing solution using Snowflake to centralize operational data for advanced analytics.	Engineered a scalable healthcare analytics platform on Azure, improving patient outcomes. Developed an insurance risk assessment model using AI on AWS. Implemented a secure, cloud-based payment gateway for a Swiss bank with Kubernetes. Automated supply chain processes for GlobalBind Technologies. Created a predictive maintenance framework for engineering firms on Azure IoT.	Professional Data Engineer, Microsoft Certified: Azure Solutions Architect Expert, GCP Professional Data Engineer		Apache Kafka, Apache Spark, AWS (Amazon Web Services), Google Cloud Platform, Airflow, PostgreSQL, Snowflake, Azure IoT, Kubernetes	100
FME	Felix Meyer	Consultant	Felix Meyer holds an M.Sc. in Machine Learning and a B.Sc. in Statistics. Before joining D ONE, Felix worked as a BI Consultant at Deloitte for 5 years, mainly in projects around business intelligence. His areas of expertise are data engineering and data science. Felix has been with the team since 2018.	MSc in Machine Learning (Technical University of Berlin), BSc in Statistics (ETH Zurich)	Orchestrated the deployment of a scalable data lake using Kubernetes and Airflow for client data consolidation. Developed a RESTful API to facilitate real-time business analytics reporting on Google Cloud Platform. Engineered a Python module to automate financial forecasting and trend analysis for multinational corporations. Implemented a machine learning algorithm to increase prediction accuracy of consumer behavior by 20%. Led a data-driven optimization project to enhance supply chain logistics, reducing operational costs by 15%. Prototyped an advanced customer segmentation tool using NLP techniques to improve marketing strategies. Directed the creation of a real-time analytics dashboard for executive decision-making, enhancing KPI visibility.	Implemented AI diagnostics for early disease detection in healthcare. Developed predictive models for customer lifetime value in insurance. Engineered fraud detection systems using AI for retail banking. Automated demand forecasting for retail chains using machine learning. Optimized drug development timelines with predictive analytics in pharma. Streamlined project cost estimation using AI in construction. Enhanced equipment failure prediction in mechanical engineering with IoT data.	Microsoft Certified: Azure Data Engineer Associate, Microsoft Certified: Azure Data Scientist Associate, Microsoft Certified: Azure AI Fundamentals, Microsoft Certified: Azure Fundamentals	BioTechX 2020, GTC 2023	Python, Kubernetes, Apache Airflow, Google Cloud Platform, Pandas, NumPy, Scikit-learn, TensorFlow, Microsoft Power BI, Tableau, SQL, Natural Language Processing (NLP) tools, Docker	100
FCA	Flurin Caduff	Managing Consultant	Flurin Caduff holds an M.Sc. in Cybersecurity and a B.Sc. in Computer Science from the University of Zurich. Before joining D ONE, Flurin worked as a Security Analyst at Swiss Federal Railways for 2 years, mainly in projects around information security. His areas of expertise are data engineering and data science. Flurin has been with the team since 2021.	PhD in Cybersecurity (University of Zurich), MSc in Cybersecurity (University of Zurich), BSc in Computer Science (University of Zurich)	Developed a cybersecurity incident prediction model using machine learning techniques. Engineered a data pipeline for real-time threat detection and analysis using Airflow. Implemented a RESTful API for an internal security dashboard on Google Cloud Platform.	Enhanced healthcare data interoperability with AWS-based data lakes. Implemented real-time claims analysis using Azure Stream Analytics in insurance. Developed a secure banking transaction monitoring system on Google Cloud. Optimized retail inventory through machine learning models on Snowflake. Engineered predictive maintenance tools for construction using IoT on Azure.	Professional Data Engineer, Professional Scrum Master™ I (PSM I), Microsoft Certified: Azure Solutions Architect Expert, AWS Certified Machine Learning, GCP Professional Cloud Architect	GTC 2021, GTC 2022, GTC 2023	Python, Apache Airflow, TensorFlow, Google Cloud Platform, RESTful API development, Amazon Web Services (AWS), Azure Stream Analytics, Snowflake, Azure IoT Hub, Scikit-learn, Pandas, NumPy, Jupyter, Kubernetes, Docker, SQL, PySpark, MLlib (Spark), Git, PostgreSQL	100
ESC	Emma Schneider	Lead Consultant	Emma Schneider holds an M.Sc. in Artificial Intelligence and a B.Sc. in Mathematics. Before joining D ONE, Emma worked as a Data Scientist at Roche for 3 years, mainly in projects around pharmaceuticals. Her areas of expertise are data engineering and data science. Emma has been with the team since 2022.	MSc in Artificial Intelligence (Technical University of Munich), BSc in Mathematics (University of Heidelberg)	Developed a machine learning model to optimize drug formulation processes at Roche. Engineered data pipelines for large-scale genomic data analysis using Kubernetes. Implemented a predictive analytics system for clinical trial success rates. Orchestrated a cloud-based platform for real-time pharmaceutical data analysis on AWS.	Developed AI-driven diagnostic tools for early cancer detection. Implemented machine learning for personalized insurance premium calculations. Enhanced fraud detection systems for banking using deep learning. Automated supply chain optimization for retail clients with AI. Engineered predictive analytics for drug efficacy in clinical trials. Optimized resource allocation models in construction management. Designed real-time monitoring systems for mechanical equipment health.	TensorFlow Developer Certificate, Dataiku ML Practitioner, Certified Data Vault 2.0 Practitioner, Neo4j Certified Professional, Databricks Certified Associate developer for Apache Spark 3.0 - Python	ICLR 2021, ICML 2022, Google Next 2023	TensorFlow, Python, Kubernetes, AWS, Neo4j, Dataiku DSS, Apache Spark, Scikit-learn, Pandas, NumPy, Keras, PyTorch, Docker, Jupyter, Matplotlib	100
CSA	Carlos Sánchez	Associate Consultant	Carlos Sánchez holds an M.Sc. in Renewable Energy and a B.Sc. in Electrical Engineering from the Technical University of Madrid. Before joining D ONE, Carlos worked as an Energy Analyst at Iberdrola for 3 years, mainly in projects around sustainable energy solutions. His areas of expertise are data engineering and data science. Carlos has been with the team since 2020.	MSc in Renewable Energy (Technical University of Madrid), BSc in Electrical Engineering (Technical University of Madrid)	Orchestrated data modeling for solar energy yield prediction using Python and Airflow. Developed analytics for optimizing grid distribution and load balancing with ML models. Engineered data ingestion pipelines to support real-time monitoring of wind farms. Implemented a data-driven decision support system to enhance energy efficiency measures.	Developed risk assessment models for climate-related insurance claims. Automated trading algorithms for Swiss finance firms using machine learning. Optimized supply chain analytics for retail clients with AI. Implemented real-time fraud detection systems for major banking clients. Engineered customer sentiment analysis tools for retail market research. Designed energy consumption prediction models for financial portfolio management. Enhanced data security protocols for sensitive financial data transactions.	Microsoft Certified: Azure Data Scientist Associate, Databricks Certified Data Engineer Associate, AWS Certified Machine Learning		Python, Apache Airflow, Microsoft Azure, Databricks, Amazon Web Services (AWS), Scikit-learn, TensorFlow, Pandas, Jupyter Notebook	100
ASO	Anina Solèr	Consultant	Anina Solèr holds an M.Sc. in Environmental Sciences and a B.Sc. in Earth Sciences from the University of Zurich. Before joining D ONE, Anina worked as an Environmental Consultant at ERM for 3 years, mainly in projects around sustainability. Her areas of expertise are data engineering and data science. Anina has been with the team since 2021.	MSc in Environmental Sciences (University of Zurich), BSc in Earth Sciences (University of Zurich)	Developed predictive models for environmental impact assessments at ERM. Orchestrated data ingestion and modeling for sustainability projects using Python. Implemented a GIS-based analysis system for natural resource management. Engineered machine learning algorithms to optimize waste reduction strategies.	Developed environmental risk models for insurance underwriting processes. Enhanced retail sustainability practices using data-driven analytics. Streamlined energy consumption data analysis for financial clients.	Microsoft Certified: Azure Data Scientist Associate, Databricks Certified Data Engineer Associate, GCP Professional Data Engineer		Python, R, GIS (Geographic Information Systems), TensorFlow, Scikit-learn, Pandas, NumPy, Microsoft Azure, Databricks, Google Cloud Platform (GCP), SQL QGIS	100
